iso_code;date;people_fully_vaccinated;population;pfv
AFG;24/02/2020;;38928341;
AFG;25/02/2020;;38928341;
AFG;26/02/2020;;38928341;
AFG;27/02/2020;;38928341;
AFG;28/02/2020;;38928341;
AFG;29/02/2020;;38928341;
AFG;01/03/2020;;38928341;
AFG;02/03/2020;;38928341;
AFG;03/03/2020;;38928341;
AFG;04/03/2020;;38928341;
AFG;05/03/2020;;38928341;
AFG;06/03/2020;;38928341;
AFG;07/03/2020;;38928341;
AFG;08/03/2020;;38928341;
AFG;09/03/2020;;38928341;
AFG;10/03/2020;;38928341;
AFG;11/03/2020;;38928341;
AFG;12/03/2020;;38928341;
AFG;13/03/2020;;38928341;
AFG;14/03/2020;;38928341;
AFG;15/03/2020;;38928341;
AFG;16/03/2020;;38928341;
AFG;17/03/2020;;38928341;
AFG;18/03/2020;;38928341;
AFG;19/03/2020;;38928341;
AFG;20/03/2020;;38928341;
AFG;21/03/2020;;38928341;
AFG;22/03/2020;;38928341;
AFG;23/03/2020;;38928341;
AFG;24/03/2020;;38928341;
AFG;25/03/2020;;38928341;
AFG;26/03/2020;;38928341;
AFG;27/03/2020;;38928341;
AFG;28/03/2020;;38928341;
AFG;29/03/2020;;38928341;
AFG;30/03/2020;;38928341;
AFG;31/03/2020;;38928341;
AFG;01/04/2020;;38928341;
AFG;02/04/2020;;38928341;
AFG;03/04/2020;;38928341;
AFG;04/04/2020;;38928341;
AFG;05/04/2020;;38928341;
AFG;06/04/2020;;38928341;
AFG;07/04/2020;;38928341;
AFG;08/04/2020;;38928341;
AFG;09/04/2020;;38928341;
AFG;10/04/2020;;38928341;
AFG;11/04/2020;;38928341;
AFG;12/04/2020;;38928341;
AFG;13/04/2020;;38928341;
AFG;14/04/2020;;38928341;
AFG;15/04/2020;;38928341;
AFG;16/04/2020;;38928341;
AFG;17/04/2020;;38928341;
AFG;18/04/2020;;38928341;
AFG;19/04/2020;;38928341;
AFG;20/04/2020;;38928341;
AFG;21/04/2020;;38928341;
AFG;22/04/2020;;38928341;
AFG;23/04/2020;;38928341;
AFG;24/04/2020;;38928341;
AFG;25/04/2020;;38928341;
AFG;26/04/2020;;38928341;
AFG;27/04/2020;;38928341;
AFG;28/04/2020;;38928341;
AFG;29/04/2020;;38928341;
AFG;30/04/2020;;38928341;
AFG;01/05/2020;;38928341;
AFG;02/05/2020;;38928341;
AFG;03/05/2020;;38928341;
AFG;04/05/2020;;38928341;
AFG;05/05/2020;;38928341;
AFG;06/05/2020;;38928341;
AFG;07/05/2020;;38928341;
AFG;08/05/2020;;38928341;
AFG;09/05/2020;;38928341;
AFG;10/05/2020;;38928341;
AFG;11/05/2020;;38928341;
AFG;12/05/2020;;38928341;
AFG;13/05/2020;;38928341;
AFG;14/05/2020;;38928341;
AFG;15/05/2020;;38928341;
AFG;16/05/2020;;38928341;
AFG;17/05/2020;;38928341;
AFG;18/05/2020;;38928341;
AFG;19/05/2020;;38928341;
AFG;20/05/2020;;38928341;
AFG;21/05/2020;;38928341;
AFG;22/05/2020;;38928341;
AFG;23/05/2020;;38928341;
AFG;24/05/2020;;38928341;
AFG;25/05/2020;;38928341;
AFG;26/05/2020;;38928341;
AFG;27/05/2020;;38928341;
AFG;28/05/2020;;38928341;
AFG;29/05/2020;;38928341;
AFG;30/05/2020;;38928341;
AFG;31/05/2020;;38928341;
AFG;01/06/2020;;38928341;
AFG;02/06/2020;;38928341;
AFG;03/06/2020;;38928341;
AFG;04/06/2020;;38928341;
AFG;05/06/2020;;38928341;
AFG;06/06/2020;;38928341;
AFG;07/06/2020;;38928341;
AFG;08/06/2020;;38928341;
AFG;09/06/2020;;38928341;
AFG;10/06/2020;;38928341;
AFG;11/06/2020;;38928341;
AFG;12/06/2020;;38928341;
AFG;13/06/2020;;38928341;
AFG;14/06/2020;;38928341;
AFG;15/06/2020;;38928341;
AFG;16/06/2020;;38928341;
AFG;17/06/2020;;38928341;
AFG;18/06/2020;;38928341;
AFG;19/06/2020;;38928341;
AFG;20/06/2020;;38928341;
AFG;21/06/2020;;38928341;
AFG;22/06/2020;;38928341;
AFG;23/06/2020;;38928341;
AFG;24/06/2020;;38928341;
AFG;25/06/2020;;38928341;
AFG;26/06/2020;;38928341;
AFG;27/06/2020;;38928341;
AFG;28/06/2020;;38928341;
AFG;29/06/2020;;38928341;
AFG;30/06/2020;;38928341;
AFG;01/07/2020;;38928341;
AFG;02/07/2020;;38928341;
AFG;03/07/2020;;38928341;
AFG;04/07/2020;;38928341;
AFG;05/07/2020;;38928341;
AFG;06/07/2020;;38928341;
AFG;07/07/2020;;38928341;
AFG;08/07/2020;;38928341;
AFG;09/07/2020;;38928341;
AFG;10/07/2020;;38928341;
AFG;11/07/2020;;38928341;
AFG;12/07/2020;;38928341;
AFG;13/07/2020;;38928341;
AFG;14/07/2020;;38928341;
AFG;15/07/2020;;38928341;
AFG;16/07/2020;;38928341;
AFG;17/07/2020;;38928341;
AFG;18/07/2020;;38928341;
AFG;19/07/2020;;38928341;
AFG;20/07/2020;;38928341;
AFG;21/07/2020;;38928341;
AFG;22/07/2020;;38928341;
AFG;23/07/2020;;38928341;
AFG;24/07/2020;;38928341;
AFG;25/07/2020;;38928341;
AFG;26/07/2020;;38928341;
AFG;27/07/2020;;38928341;
AFG;28/07/2020;;38928341;
AFG;29/07/2020;;38928341;
AFG;30/07/2020;;38928341;
AFG;31/07/2020;;38928341;
AFG;01/08/2020;;38928341;
AFG;02/08/2020;;38928341;
AFG;03/08/2020;;38928341;
AFG;04/08/2020;;38928341;
AFG;05/08/2020;;38928341;
AFG;06/08/2020;;38928341;
