iso_code,date,people_fully_vaccinated,population,pfv
AFG,07/04/2021,,38928341,0
OWID_AFR,07/04/2021,4385427,1340598113,0
ALB,07/04/2021,,2877800,0
DZA,07/04/2021,,43851043,0
AND,07/04/2021,,77265,0
AGO,07/04/2021,,32866268,0
ATG,07/04/2021,,97928,0
ARG,07/04/2021,701085,45195777,1
ARM,07/04/2021,,2963234,0
OWID_ASI,07/04/2021,33120710,4639847425,0
AUS,07/04/2021,,25499881,0
AUT,07/04/2021,524092,9006400,5
AZE,07/04/2021,386327,10139175,3
BHS,07/04/2021,,393248,0
BHR,07/04/2021,333285,1701583,19
BGD,07/04/2021,,164689383,0
BRB,07/04/2021,,287371,0
BLR,07/04/2021,,9449321,0
BEL,07/04/2021,591359,11589616,5
BLZ,07/04/2021,,397621,0
BEN,07/04/2021,,12123198,0
BTN,07/04/2021,,771612,0
BOL,07/04/2021,,11673029,0
BIH,07/04/2021,,3280815,0
BWA,07/04/2021,,2351625,0
BRA,07/04/2021,5338722,212559409,2
BRN,07/04/2021,,437483,0
BGR,07/04/2021,107747,6948445,1
BFA,07/04/2021,,20903278,0
BDI,07/04/2021,,11890781,0
KHM,07/04/2021,255123,16718971,1
CMR,07/04/2021,,26545864,0
CAN,07/04/2021,746667,37742157,1
CPV,07/04/2021,,555988,0
CYM,07/04/2021,22172,65720,33
CAF,07/04/2021,,4829764,0
TCD,07/04/2021,,16425859,0
CHL,07/04/2021,4252025,19116209,22
CHN,07/04/2021,,1439323774,0
COL,07/04/2021,,50882884,0
COM,07/04/2021,,869595,0
COG,07/04/2021,,5518092,0
CRI,07/04/2021,,5094114,0
CIV,07/04/2021,,26378275,0
HRV,07/04/2021,100808,4105268,2
CUB,07/04/2021,,11326616,0
CYP,07/04/2021,,875899,0
CZE,07/04/2021,634567,10708982,5
COD,07/04/2021,,89561404,0
DNK,07/04/2021,,5792203,0
DJI,07/04/2021,,988002,0
DMA,07/04/2021,,71991,0
DOM,07/04/2021,,10847904,0
ECU,07/04/2021,,17643060,0
EGY,07/04/2021,,102334403,0
SLV,07/04/2021,,6486201,0
GNQ,07/04/2021,,1402985,0
ERI,07/04/2021,,3546427,0
EST,07/04/2021,70916,1326539,5
SWZ,07/04/2021,,1160164,0
ETH,07/04/2021,,114963583,0
OWID_EUR,07/04/2021,37886196,748680069,5
OWID_EUN,07/04/2021,24894032,444919060,5
FJI,07/04/2021,,896444,0
FIN,07/04/2021,90340,5540718,1
FRA,07/04/2021,,68147687,0
GAB,07/04/2021,,2225728,0
GMB,07/04/2021,,2416664,0
GEO,07/04/2021,,3989175,0
DEU,07/04/2021,,83783945,0
GHA,07/04/2021,,31072945,0
GRC,07/04/2021,690748,10423056,6
GRD,07/04/2021,,112519,0
GTM,07/04/2021,,17915567,0
GGY,07/04/2021,8254,67052,12
GIN,07/04/2021,,13132792,0
GNB,07/04/2021,,1967998,0
GUY,07/04/2021,,786559,0
HTI,07/04/2021,,11402533,0
HND,07/04/2021,,9904608,0
HKG,07/04/2021,143584,7496988,1
HUN,07/04/2021,1077947,9660350,11
ISL,07/04/2021,,341250,0
IND,07/04/2021,11435646,1380004385,0
IDN,07/04/2021,,273523621,0
OWID_INT,07/04/2021,,,#DIV/0!
IRN,07/04/2021,,83992953,0
IRQ,07/04/2021,,40222503,0
IRL,07/04/2021,,4937796,0
IMN,07/04/2021,15388,85032,18
ISR,07/04/2021,4894124,8655541,56
ITA,07/04/2021,3616215,60461828,5
JAM,07/04/2021,,2961161,0
JPN,07/04/2021,356679,126476458,0
